Training Naive Bayes classifier with frequency mode...
Naive Bayes training complete.

=Performance Metrics:
Confusion Matrix:
[2925, 75]
[399, 783]
Accuracy: 0.8867
Precision: 0.8800
Recall: 0.9750
F1 Score: 0.9250

Predictions Log:
Doc ID, Predicted Class, Actual Class
1, negative, positive
2, negative, positive
3, positive, positive
4, positive, positive
5, positive, positive
6, positive, positive
7, positive, positive
8, negative, positive
9, positive, positive
10, positive, positive
11, negative, positive
12, positive, positive
13, positive, positive
14, positive, positive
15, negative, positive
16, positive, positive
17, positive, positive
18, positive, positive
19, positive, positive
20, positive, positive
21, positive, positive
22, negative, positive
23, negative, positive
24, positive, positive
25, positive, positive
26, positive, positive
27, positive, positive
28, positive, positive
29, positive, positive
30, negative, positive
31, negative, positive
32, positive, positive
33, positive, positive
34, negative, positive
35, negative, positive
36, positive, positive
37, negative, positive
38, positive, positive
39, positive, positive
40, negative, positive
41, positive, positive
42, positive, positive
43, positive, positive
44, positive, positive
45, positive, positive
46, negative, positive
47, positive, positive
48, positive, positive
49, positive, positive
50, negative, positive
51, positive, positive
52, positive, positive
53, positive, positive
54, positive, positive
55, positive, positive
56, positive, positive
57, positive, positive
58, negative, positive
59, negative, positive
60, positive, positive
61, positive, positive
62, negative, positive
63, negative, positive
64, negative, positive
65, positive, positive
66, positive, positive
67, positive, positive
68, positive, positive
69, positive, positive
70, negative, positive
71, positive, positive
72, negative, positive
73, negative, positive
74, negative, positive
75, positive, positive
76, positive, positive
77, positive, positive
78, positive, positive
79, positive, positive
80, positive, positive
81, negative, positive
82, negative, positive
83, positive, positive
84, negative, positive
85, positive, positive
86, positive, positive
87, positive, positive
88, positive, positive
89, positive, positive
90, negative, positive
91, positive, positive
92, positive, positive
93, positive, positive
94, negative, positive
95, negative, positive
96, positive, positive
97, positive, positive
98, positive, positive
99, negative, positive
100, negative, positive
101, positive, positive
102, negative, positive
103, negative, positive
104, positive, positive
105, positive, positive
106, positive, positive
107, positive, positive
108, positive, positive
109, negative, positive
110, positive, positive
111, negative, positive
112, negative, positive
113, positive, positive
114, positive, positive
115, negative, positive
116, negative, positive
117, positive, positive
118, positive, positive
119, positive, positive
120, positive, positive
121, negative, positive
122, negative, positive
123, positive, positive
124, negative, positive
125, positive, positive
126, positive, positive
127, positive, positive
128, positive, positive
129, positive, positive
130, negative, positive
131, positive, positive
132, positive, positive
133, positive, positive
134, negative, positive
135, negative, positive
136, negative, positive
137, negative, positive
138, positive, positive
139, positive, positive
140, positive, positive
141, positive, positive
142, positive, positive
143, positive, positive
144, positive, positive
145, positive, positive
146, positive, positive
147, positive, positive
148, negative, positive
149, positive, positive
150, positive, positive
151, positive, positive
152, negative, positive
153, negative, positive
154, negative, positive
155, negative, positive
156, negative, positive
157, positive, positive
158, positive, positive
159, positive, positive
160, positive, positive
161, positive, positive
162, negative, positive
163, negative, positive
164, negative, positive
165, positive, positive
166, negative, positive
167, negative, positive
168, positive, positive
169, positive, positive
170, negative, positive
171, negative, positive
172, positive, positive
173, negative, positive
174, negative, positive
175, positive, positive
176, positive, positive
177, positive, positive
178, negative, positive
179, negative, positive
180, positive, positive
181, positive, positive
182, negative, positive
183, positive, positive
184, positive, positive
185, positive, positive
186, negative, positive
187, negative, positive
188, positive, positive
189, positive, positive
190, negative, positive
191, positive, positive
192, positive, positive
193, positive, positive
194, positive, positive
195, positive, positive
196, positive, positive
197, negative, positive
198, positive, positive
199, positive, positive
200, negative, positive
201, positive, positive
202, positive, positive
203, positive, positive
204, positive, positive
205, positive, positive
206, positive, positive
207, positive, positive
208, positive, positive
209, positive, positive
210, negative, positive
211, positive, positive
212, negative, positive
213, positive, positive
214, negative, positive
215, positive, positive
216, positive, positive
217, positive, positive
218, negative, positive
219, negative, positive
220, positive, positive
221, negative, positive
222, positive, positive
223, positive, positive
224, negative, positive
225, negative, positive
226, negative, positive
227, positive, positive
228, negative, positive
229, positive, positive
230, positive, positive
231, negative, positive
232, negative, positive
233, positive, positive
234, positive, positive
235, positive, positive
236, positive, positive
237, positive, positive
238, negative, positive
239, positive, positive
240, positive, positive
241, negative, positive
242, positive, positive
243, negative, positive
244, negative, positive
245, positive, positive
246, negative, positive
247, negative, positive
248, negative, positive
249, negative, positive
250, negative, positive
251, negative, positive
252, positive, positive
253, negative, positive
254, negative, positive
255, positive, positive
256, positive, positive
257, positive, positive
258, positive, positive
259, positive, positive
260, positive, positive
261, positive, positive
262, positive, positive
263, positive, positive
264, positive, positive
265, negative, positive
266, negative, positive
267, positive, positive
268, positive, positive
269, negative, positive
270, negative, positive
271, negative, positive
272, negative, positive
273, positive, positive
274, negative, positive
275, positive, positive
276, positive, positive
277, positive, positive
278, positive, positive
279, positive, positive
280, negative, positive
281, positive, positive
282, positive, positive
283, negative, positive
284, positive, positive
285, positive, positive
286, positive, positive
287, positive, positive
288, positive, positive
289, negative, positive
290, positive, positive
291, positive, positive
292, negative, positive
293, positive, positive
294, negative, positive
295, positive, positive
296, positive, positive
297, positive, positive
298, positive, positive
299, positive, positive
300, positive, positive
301, positive, positive
302, positive, positive
303, positive, positive
304, negative, positive
305, negative, positive
306, positive, positive
307, positive, positive
308, positive, positive
309, negative, positive
310, negative, positive
311, positive, positive
312, positive, positive
313, positive, positive
314, positive, positive
315, positive, positive
316, positive, positive
317, positive, positive
318, positive, positive
319, positive, positive
320, negative, positive
321, positive, positive
322, positive, positive
323, negative, positive
324, positive, positive
325, negative, positive
326, negative, positive
327, positive, positive
328, negative, positive
329, positive, positive
330, positive, positive
331, positive, positive
332, positive, positive
333, positive, positive
334, positive, positive
335, positive, positive
336, positive, positive
337, positive, positive
338, negative, positive
339, positive, positive
340, negative, positive
341, negative, positive
342, positive, positive
343, positive, positive
344, positive, positive
345, positive, positive
346, positive, positive
347, negative, positive
348, positive, positive
349, negative, positive
350, positive, positive
351, negative, positive
352, positive, positive
353, negative, positive
354, positive, positive
355, positive, positive
356, negative, positive
357, positive, positive
358, positive, positive
359, positive, positive
360, positive, positive
361, negative, positive
362, positive, positive
363, positive, positive
364, positive, positive
365, negative, positive
