Training Naive Bayes classifier with tfidf mode...
Naive Bayes training complete.

=Performance Metrics:
Confusion Matrix:
[977, 2023]
[257, 925]
Accuracy: 0.4548
Precision: 0.7917
Recall: 0.3257
F1 Score: 0.4615

Predictions Log:
Doc ID, Predicted Class, Actual Class
1, negative, positive
2, positive, positive
3, positive, positive
4, negative, positive
5, positive, positive
6, positive, positive
7, positive, positive
8, positive, positive
9, positive, positive
10, positive, positive
11, positive, positive
12, positive, positive
13, positive, positive
14, negative, positive
15, negative, positive
16, positive, positive
17, positive, positive
18, positive, positive
19, positive, positive
20, positive, positive
21, positive, positive
22, positive, positive
23, positive, positive
24, positive, positive
25, positive, positive
26, positive, positive
27, positive, positive
28, positive, positive
29, positive, positive
30, negative, positive
31, positive, positive
32, positive, positive
33, positive, positive
34, positive, positive
35, positive, positive
36, positive, positive
37, positive, positive
38, positive, positive
39, positive, positive
40, negative, positive
41, positive, positive
42, positive, positive
43, positive, positive
44, positive, positive
45, positive, positive
46, positive, positive
47, positive, positive
48, positive, positive
49, positive, positive
50, positive, positive
51, positive, positive
52, negative, positive
53, positive, positive
54, positive, positive
55, positive, positive
56, negative, positive
57, positive, positive
58, positive, positive
59, positive, positive
60, positive, positive
61, positive, positive
62, positive, positive
63, positive, positive
64, positive, positive
65, positive, positive
66, positive, positive
67, negative, positive
68, positive, positive
69, positive, positive
70, positive, positive
71, positive, positive
72, positive, positive
73, negative, positive
74, negative, positive
75, positive, positive
76, negative, positive
77, negative, positive
78, negative, positive
79, positive, positive
80, negative, positive
81, positive, positive
82, positive, positive
83, negative, positive
84, positive, positive
85, positive, positive
86, positive, positive
87, positive, positive
88, positive, positive
89, positive, positive
90, positive, positive
91, positive, positive
92, positive, positive
93, positive, positive
94, positive, positive
95, positive, positive
96, negative, positive
97, positive, positive
98, positive, positive
99, positive, positive
100, negative, positive
101, negative, positive
102, positive, positive
103, negative, positive
104, positive, positive
105, negative, positive
106, positive, positive
107, positive, positive
108, positive, positive
109, positive, positive
110, positive, positive
111, positive, positive
112, negative, positive
113, positive, positive
114, positive, positive
115, negative, positive
116, positive, positive
117, negative, positive
118, positive, positive
119, positive, positive
120, positive, positive
121, negative, positive
122, positive, positive
123, positive, positive
124, positive, positive
125, positive, positive
126, negative, positive
127, positive, positive
128, positive, positive
129, positive, positive
130, negative, positive
131, positive, positive
132, positive, positive
133, positive, positive
134, positive, positive
135, negative, positive
136, positive, positive
137, positive, positive
138, positive, positive
139, positive, positive
140, positive, positive
141, positive, positive
142, negative, positive
143, positive, positive
144, positive, positive
145, positive, positive
146, positive, positive
147, positive, positive
148, positive, positive
149, positive, positive
150, positive, positive
151, positive, positive
152, positive, positive
153, negative, positive
154, positive, positive
155, negative, positive
156, positive, positive
157, negative, positive
158, positive, positive
159, positive, positive
160, positive, positive
161, positive, positive
162, positive, positive
163, positive, positive
164, positive, positive
165, positive, positive
166, positive, positive
167, positive, positive
168, positive, positive
169, positive, positive
170, positive, positive
171, positive, positive
172, positive, positive
173, positive, positive
174, negative, positive
175, positive, positive
176, positive, positive
177, negative, positive
178, positive, positive
179, positive, positive
180, positive, positive
181, positive, positive
182, positive, positive
183, positive, positive
184, negative, positive
185, positive, positive
186, positive, positive
187, positive, positive
188, positive, positive
189, positive, positive
190, positive, positive
191, negative, positive
192, positive, positive
193, positive, positive
194, positive, positive
195, positive, positive
196, positive, positive
197, positive, positive
198, negative, positive
199, positive, positive
200, positive, positive
201, positive, positive
202, positive, positive
203, positive, positive
204, positive, positive
205, positive, positive
206, positive, positive
207, negative, positive
208, positive, positive
209, positive, positive
210, positive, positive
211, positive, positive
212, positive, positive
213, positive, positive
214, positive, positive
215, positive, positive
216, positive, positive
217, positive, positive
218, negative, positive
219, positive, positive
220, positive, positive
221, positive, positive
222, positive, positive
223, positive, positive
224, positive, positive
225, negative, positive
226, positive, positive
227, positive, positive
228, positive, positive
229, negative, positive
230, positive, positive
231, negative, positive
232, negative, positive
233, positive, positive
234, positive, positive
235, positive, positive
236, positive, positive
237, positive, positive
238, positive, positive
239, positive, positive
240, positive, positive
241, negative, positive
242, negative, positive
243, positive, positive
244, positive, positive
245, positive, positive
246, positive, positive
247, positive, positive
248, positive, positive
249, positive, positive
250, positive, positive
251, positive, positive
252, positive, positive
253, positive, positive
254, positive, positive
255, positive, positive
256, positive, positive
257, positive, positive
258, positive, positive
259, positive, positive
260, positive, positive
261, positive, positive
262, positive, positive
263, positive, positive
264, negative, positive
265, positive, positive
